Metric,SVM,Decision Tree
Accuracy,0.9824561403508771,0.9210526315789473
Precision,0.9861111111111112,0.9565217391304348
Recall,0.9861111111111112,0.9166666666666666
F1 Score,0.9861111111111112,0.9361702127659575
